ID,AGE,SEX,EDU,MAR,CRE,BILL_1,BILL_2,BILL_3,STA_1,STA_2,STA_3,AMT_1,AMT_2,AMT_3,PAY
1,25,Male,HighSchool,single,3555,2541,1394,1250,duly,duly,duly,143,107,71,Y
2,35,Female,College,single,6399,6418,4830,2424,delay,delay,delay,220,889,79,Y
3,50,Female,College,married,1422,1603,1515,1433,delay,delay,delay,0,0,35,N
4,45,Female,Graduate,single,16353,14591,14204,14872,duly,duly,duly,1068,1244,1069,Y
5,45,Female,Graduate,married,19197,54,0,0,,,,0,0,0,Y
6,37,Male,HighSchool,married,10665,10839,10605,10185,delay,delay,delay,231,18,306,N
7,32,Female,College,married,1422,1445,1094,779,delay,duly,duly,42,28,44,N
8,28,Male,College,single,27729,10282,8509,3187,duly,duly,duly,469,369,359,Y
9,45,Male,College,married,2133,1052,1050,1170,delay,delay,delay,55,96,26,N
10,22,Female,Graduate,single,5688,780,429,101,duly,duly,,444,103,3,Y
11,45,Male,Graduate,married,35550,103,0,0,duly,,,0,0,0,Y
12,29,Female,Graduate,single,4977,4785,4930,4291,duly,duly,duly,202,182,135,Y
13,35,Female,College,married,10665,9243,6493,3006,duly,duly,duly,462,121,132,Y
14,51,Female,Graduate,married,20619,814,1475,173,,,,842,1602,44,Y
15,25,Female,College,married,7110,6985,7144,7157,duly,duly,duly,254,271,281,Y
16,49,Female,Graduate,married,17775,2,4,58,duly,,duly,0,4,58,Y
17,27,Female,College,single,5688,5740,5121,4048,duly,duly,duly,256,149,183,Y
18,26,Female,College,married,2133,2130,1525,323,delay,duly,duly,43,14,2,Y
19,47,Male,College,single,3555,1397,1427,1252,duly,duly,duly,142,107,71,Y
20,26,Female,HighSchool,married,4977,3696,2002,1978,duly,duly,duly,178,141,135,Y
21,25,Male,College,single,1422,1108,1206,596,duly,duly,duly,100,0,0,Y
22,41,Female,College,married,10665,5581,5528,5875,duly,duly,duly,250,498,216,Y
23,45,Female,College,single,11376,0,0,14,delay,,,0,0,124,Y
