ID,AGE,SEX,EDU,MAR,CRE,BILL_1,BILL_2,BILL_3,STA_1,STA_2,STA_3,AMT_1,AMT_2,AMT_3,PAY
1,24,Famale,College,married,20000.0,3913.0,3102.0,689.0,delay,delay,duly,0.0,689.0,0.0,N
2,26,Famale,College,single,120000.0,2682.0,1725.0,2682.0,duly,delay,duly,0.0,1000.0,1000.0,N
3,34,Famale,College,single,90000.0,29239.0,14027.0,13559.0,duly,duly,duly,1518.0,1500.0,1000.0,Y
4,37,Famale,College,married,50000.0,46990.0,48233.0,49291.0,duly,duly,duly,2000.0,2019.0,1200.0,Y
5,57,Male,College,married,50000.0,8617.0,5670.0,35835.0,duly,duly,duly,2000.0,36681.0,10000.0,Y
6,37,Male,Graduate,single,50000.0,64400.0,57069.0,57608.0,duly,duly,duly,2500.0,1815.0,657.0,Y
7,29,Male,Graduate,single,500000.0,367965.0,412023.0,445007.0,duly,duly,duly,55000.0,40000.0,38000.0,Y
8,23,Famale,College,single,100000.0,11876.0,380.0,601.0,duly,duly,duly,380.0,601.0,0.0,Y
9,28,Famale,HighSchool,married,140000.0,11285.0,14096.0,12108.0,duly,duly,delay,3329.0,0.0,432.0,Y
10,35,Male,HighSchool,single,20000.0,0.0,0.0,0.0,duly,duly,duly,0.0,0.0,0.0,Y
11,34,Famale,HighSchool,single,200000.0,11073.0,9787.0,5535.0,duly,duly,delay,2306.0,12.0,50.0,Y
12,51,Famale,Graduate,single,260000.0,12261.0,21670.0,9966.0,duly,duly,duly,21818.0,9966.0,8583.0,Y
13,41,Famale,College,single,630000.0,12137.0,6500.0,6500.0,duly,duly,duly,1000.0,6500.0,6500.0,Y
14,30,Male,College,single,70000.0,65802.0,67369.0,65701.0,delay,delay,delay,3200.0,0.0,3000.0,N
15,29,Male,Graduate,single,250000.0,70887.0,67060.0,63561.0,duly,duly,duly,3000.0,3000.0,3000.0,Y
17,24,Male,Graduate,single,20000.0,15376.0,18010.0,17428.0,duly,duly,delay,3200.0,0.0,1500.0,N
18,49,Male,Graduate,married,320000.0,253286.0,246536.0,194663.0,duly,duly,duly,10358.0,10000.0,75940.0,Y
19,49,Famale,Graduate,married,360000.0,0.0,0.0,0.0,delay,duly,duly,0.0,0.0,0.0,Y
20,29,Famale,Graduate,single,180000.0,0.0,0.0,0.0,delay,duly,duly,0.0,0.0,0.0,Y
21,39,Famale,HighSchool,single,130000.0,38358.0,27688.0,24489.0,duly,duly,duly,3000.0,1537.0,1000.0,Y
22,39,Famale,College,married,120000.0,316.0,316.0,316.0,duly,duly,duly,316.0,316.0,0.0,N
23,26,Famale,College,single,70000.0,41087.0,42445.0,45020.0,delay,duly,duly,2007.0,3582.0,0.0,N
24,40,Famale,Graduate,married,450000.0,5512.0,19420.0,1473.0,duly,duly,duly,19428.0,1473.0,560.0,N
25,23,Male,Graduate,single,90000.0,4744.0,7070.0,0.0,duly,duly,duly,5757.0,0.0,5398.0,Y
26,23,Male,HighSchool,single,50000.0,47620.0,41810.0,36023.0,duly,duly,duly,1973.0,1426.0,1001.0,Y
27,27,Male,Graduate,single,60000.0,-109.0,-425.0,259.0,delay,duly,duly,0.0,1000.0,0.0,N
28,30,Famale,HighSchool,single,50000.0,22541.0,16138.0,17163.0,duly,duly,duly,1300.0,1300.0,1000.0,Y
29,47,Famale,HighSchool,married,50000.0,650.0,3415.0,3416.0,duly,duly,duly,3415.0,3421.0,2044.0,Y
30,26,Male,Graduate,single,50000.0,15329.0,16575.0,17496.0,duly,duly,duly,1500.0,1500.0,1000.0,Y
