ID,CRE,BILL_1,BILL_2,BILL_3,STA_1,STA_2,STA_3,AMT_1,AMT_2,AMT_3
1,3555,2541,1394,1250,duly,duly,duly,143,107,71
2,6399,6418,4830,2424,delay,delay,delay,220,889,79
3,1422,1603,1515,1433,delay,delay,delay,0,0,35
4,16353,14591,14204,14872,duly,duly,duly,1068,1244,1069
5,19197,54,0,0,,,delay,0,0,0
6,10665,10839,10605,10185,delay,delay,delay,231,18,306
7,1422,1445,1094,779,delay,duly,duly,42,28,44
8,27729,10282,8509,3187,duly,duly,duly,469,369,359
9,2133,1052,1050,1170,delay,delay,delay,55,96,26
10,5688,780,429,101,duly,duly,duly,444,103,3
11,35550,103,0,0,duly,,duly,0,0,0
12,4977,4785,4930,4291,duly,duly,duly,202,182,135
13,10665,9243,6493,3006,duly,duly,duly,462,121,132
14,20619,814,1475,173,,,duly,842,1602,44
15,7110,6985,7144,7157,duly,duly,duly,254,271,281
16,17775,2,4,58,duly,,duly,0,4,58
17,5688,5740,5121,4048,duly,duly,duly,256,149,183
18,2133,2130,1525,323,delay,duly,duly,43,14,2
19,3555,1397,1427,1252,duly,duly,duly,142,107,71
20,4977,3696,2002,1978,duly,duly,duly,178,141,135
21,1422,1108,1206,596,duly,duly,duly,100,0,0
22,10665,5581,5528,5875,duly,duly,duly,250,498,216
23,11376,0,0,14,delay,,duly,0,0,124
24,17064,15035,14611,13782,duly,duly,duly,676,555,519
25,9243,57,18,33,duly,duly,duly,36,18,69
26,35550,14279,6231,11055,duly,,duly,1420,10149,13829
27,16353,366,1231,2436,delay,delay,delay,0,1078,303
28,3555,551,671,696,duly,duly,duly,135,30,22
29,9243,415,803,410,duly,duly,duly,838,391,558
30,1422,11,18,99,,,duly,0,99,78
31,21330,10842,7284,1338,duly,duly,duly,395,149,188
32,8532,61,61,61,duly,duly,duly,61,61,125
33,7110,5456,4086,837,duly,duly,duly,201,89,1788
34,4977,3598,2694,1683,delay,duly,duly,53,100,71
35,11376,63,5,40,duly,,duly,0,11,35
36,5688,2470,2615,2733,duly,duly,duly,113,106,104
37,35550,288,170,71,duly,duly,duly,304,168,165
38,9954,173,233,129,duly,,duly,0,362,98
39,8532,1149,1213,1218,duly,duly,duly,154,143,71
40,22041,846,35,485,duly,duly,duly,494,61,434
41,31995,17644,762,493,duly,duly,duly,197,605,36
42,9954,7451,7072,5321,duly,duly,duly,284,242,199
43,35550,14211,13173,12124,duly,duly,duly,1244,1067,1067
